Month,Indian_Party,JVorWOS_name,JV_or_WOS,Overseas_Country,Activity,Equity,Loan,Guarantee _Issued,Total
April,ADANI HARBOUR SERVICES LIMITED,THE ADANI HARBOUR INTERNATIONAL DMCC,WOS,UNITED ARAB EMIRATES,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0,4,0,4
April,ADVAIT MINERALS LLP,KHINGAN MINERALS AS,JV,NORWAY,AGRICULTURE AND MINING,0.6734,0,0,0.6734
April,ADVANCE INDIA PROJECTS LTD,AIPL CANADA HOLDINGS INC,JV,CANADA,CONSTRUCTION,0.2229,0,0,0.2229
April,AIRPAY PAYMENT SERVICES PVT LTD,AIRPAY TANZANIA LIMITED,JV,TANZANIA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.3,0,0.3
April,AKASH RAJPAL VARMA,LOTUS EUROPE HUNGARY,WOS,HUNGARY,MANUFACTURING,0.0099,0,0,0.0099
April,AKSSAI PROJEXEL PRIVATE LIMITED,AKSSAI IFSC PRIVATE LIMITED,WOS,IFSC GIFT CITY,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0012,0,0,0.0012
April,ALBUQUERQUE RECORDS,IRONHILL HOSPITALITY PTE LTD,WOS,SINGAPORE,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0025,0,0,0.0025
April,ALEMBIC PHARMACEUTICALS LIMITED,ALEMBIC PHARMACEUTICALS SPA,WOS,CHILE,MANUFACTURING,0,0,2,2
April,ALIVIRA ANIMAL HEALTH LTD,ALIVIRA ANIMAL HEALTH LTD,WOS,IRELAND,MANUFACTURING,0,0,87,87
April,ALLIANCE WORLD MANUFACTURING LIMITED,ALLIANCE ASIA-PAC PTE LTD,WOS,SINGAPORE,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,2,0,2
April,ALPHA ALTERNATIVES FUND ADVISORS LLP,ALPHA ALTERNATIVES SINGAPORE PTE LTD,JV,SINGAPORE,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0.471,0,0,0.471
April,ALPHA MD PVT LTD,ALPHA MD LTD.,WOS,UNITED KINGDOM,"COMMUNITY, SOCIAL AND PERSONAL SERVICES",0,0.012,0,0.012
April,AMARA DISTRIBUTION LLP,SAFFRON VENTURES USA CORP,WOS,UNITED STATES OF AMERICA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.015,0,0,0.015
April,AMARA DISTRIBUTION LLP,AMARA HOLDINGS USA CORP,WOS,UNITED STATES OF AMERICA,CONSTRUCTION,0.015,0,0,0.015
April,AMBICA COTSEEDS LIMITED,AMBICA COTSEEDS PTE LIMITED,WOS,SINGAPORE,MANUFACTURING,0.0007,0,0,0.0007
April,AMIT THAKUR,GEOTECH INFOSERVICES (UK) LIMITED,WOS,UNITED KINGDOM,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0001,0,0,0.0001
April,AMITY GLOBAL EDUCATION ORGANISATION,CROSSBORDER GROUP LLC,WOS,UNITED STATES OF AMERICA,"COMMUNITY, SOCIAL AND PERSONAL SERVICES",0,0,5,5
April,ANAND KRISHNAPPA GUNJUR,RISE PLUS MIDDLE EAST LUXURY INTERIORS LTD.,JV,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.034,0,0,0.034
April,ANAND RADHAKRISHNAN,AVKALAN LTD,JV,UNITED KINGDOM,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0126,0,0,0.0126
April,ANCHAL SINGHANIA,4A FASTENERS LLC,WOS,UNITED STATES OF AMERICA,MANUFACTURING,0.006,0,0,0.006
April,ANGAD ESTATES PVT LTD,ANGAD INVESTMENTS LIMITED,WOS,CANADA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0594,0,0,0.0594
April,ANIL KUMAR KANCHI,PLANETWISE PTE LTD,JV,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0557,0,0,0.0557
April,ANIL KUMAR SHARMA,AKSSAI IFSC PRIVATE LIMITED,WOS,IFSC GIFT CITY,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0,0,0
April,ANKIT MANDA,RAJASTHAN STONEX PVT LTD,WOS,NEPAL,MANUFACTURING,0.0961,0,0,0.0961
April,ANKUR GUPTA,ZS ASSOCIATES GROUP INC.,JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0422,0,0,0.0422
April,ANNAMANENI CHANDRASEKHAR VIDHATHA,IRONHILL HOSPITALITY PTE LTD,WOS,SINGAPORE,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0019,0,0,0.0019
April,ANNAPURNA NEMANI,QUICKFIND INC,JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0252,0,0,0.0252
April,ANNIA SANTHOSH,DOUBLE HORSE FOODS LLC FZ,WOS,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0272,0,0,0.0272
April,ANNIE VINOD,DOUBLE HORSE FOODS LLC FZ,WOS,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0272,0,0,0.0272
April,ANSHUL SINGHANIA,4A FASTENERS LLC,WOS,UNITED STATES OF AMERICA,MANUFACTURING,0.014,0,0,0.014
April,ANUBHAV JAIN,EASY KART INC,WOS,UNITED STATES OF AMERICA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0072,0,0,0.0072
April,ANUJ SACHDEV AGI LLP,"HONEYBEE LABS, INC.",WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0,0,0
April,APARAJITA SANJAY THAKKER,ESGER INC,JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0,0,0
April,APARNA ENTERPRISES LIMITED,APARNA GLOBAL VIETNAM COMPANY LIMITED,WOS,VIETNAM,MANUFACTURING,0.06,0,0,0.06
April,APL INFRASTRUCTURE PRIVATE LIMITED,APL INFRA AVIATION DMCC,WOS,UNITED ARAB EMIRATES,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0,2.723,0,2.723
April,APOLLO HOSPITALS ENTERPRISE LIMITED,APOLLO HOSPITALS SINGAPORE PTE LIMITED,JV,SINGAPORE,"COMMUNITY, SOCIAL AND PERSONAL SERVICES",0.2599,0,0,0.2599
April,ARCHANA BHUTANI,YELLOW DREAMS JEWELLERY LLC,JV,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.2315,0,0,0.2315
April,ARKAN SHAH,BOTTOMS ONLY BD LIMITED,WOS,BANGLADESH,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.001,0,0,0.001
April,ARTI PALIWAL,ZENSKIN CO LTD,JV,SOUTH KOREA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0089,0,0,0.0089
April,ARTRUP HEALTHCARE SOLUTIONS LLP,COMPLEMENT THEORY INC,JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0017,0,0,0.0017
April,ASA BHANU TECHNICAL SERVICES LTD,ABTS ENESYS ENGINEERING LTD,JV,JAPAN,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0918,0,0,0.0918
April,ASHIKA GLOBAL SECURITIES PRIVATE LIMITED,FS ASHIKA VENTURES IFSC PRIVATE LIMITED,WOS,IFSC GIFT CITY,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.015,0,0,0.015
April,ASHISH LIFE SCIENCE PVT. LTD,ASHISH LIFE SCIENCE NIGERIA LIMITED,WOS,NIGERIA,MANUFACTURING,0,0.3,0,0.3
April,ASHOK JEGADEESAN,UNITTE EUROPE,JV,FRANCE,"COMMUNITY, SOCIAL AND PERSONAL SERVICES",0.0012,0,0,0.0012
April,ASHOKA BUILDCON LIMITED,ASHOKA BUILDCON (GUYANA) INC.,WOS,GUYANA,CONSTRUCTION,0.0006,0,0,0.0006
April,ASHOKA91 SPONSOR LLP,ASHOKA91 INTERNATIONAL LLP,WOS,IFSC GIFT CITY,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",1.2165,0,0,1.2165
April,ASHOKKUMAR RAMANLAL LAD,1000823156 ONTARIO INC.,JV,CANADA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.1486,0,0,0.1486
April,ASHUTOSH MURLIDHAR TRIPATHI,ASIAN BIOTECHNOLOGY INC FZCO,WOS,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0218,0,0,0.0218
April,ASHWANI KHANNA,AEROTECH SUSTAINABLE SOLUTIONS FZCO,WOS,UNITED ARAB EMIRATES,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0136,0,0,0.0136
April,ASIA SHIPPING INTL TRANSPORT PVT LTD,ASIA SHIPPING LLC,JV,UNITED ARAB EMIRATES,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0,0.0545,0,0.0545
April,ASIM KISHORE SHAH,ALFACARE SARL,JV,ALGERIA,MANUFACTURING,0.0372,0,0,0.0372
April,ASWANI PROMOTERS & BUILDERS PRIVATE LIMITED,THOUGHT WISE EVENTS & HOSPITALITY LTD.,JV,UNITED KINGDOM,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0.3661,0,0.3661
April,AUTOMATIC INFOTECH (AI) TECHNOLOGIES PVT. LTD,AUTOMATIC INFOTECH (AI) TECHNOLOGIES GMBH,WOS,GERMANY,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0125,0,0,0.0125
April,AUTOSPARK INFOTECH LLP,"FEMTOMAX, INC.",JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0,0,0
April,AVENDUS CAPITAL PVT LTD,AVENDUS PTE LTD,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.8911,0,0,0.8911
April,AVIK MANUFACTURING LLP,FENIX VENTURES LIMITED,JV,UNITED KINGDOM,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0126,0,0,0.0126
April,AXIS SOLUTIONS PRIVATE LIMITED,BRIX ENGINEERING GMBH,WOS,GERMANY,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0125,0,0,0.0125
April,B & G SOLAR PRIVATE LIMITED,B & G SOLAR INC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.005,0,0.005
April,BABAJI SHIVRAM CLEARING AND CARRIERS PVT LTD,BABAJI SHIVRAM GLOBAL SHIPPING AND LOGISTICS DMCC,WOS,UNITED ARAB EMIRATES,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0,0.177,0,0.177
April,BABAJI SHIVRAM CLEARING AND CARRIERS PVT LTD,BABAJI SHIVRAM USA HOLDINGS INC,WOS,UNITED STATES OF AMERICA,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0,0.632,0,0.632
April,BAIN GLOBAL RESOURCES LLP,BAIN RESOURCES HOLDINGS  LTD,WOS,MAURITIUS,AGRICULTURE AND MINING,0,0.75,0,0.75
April,BEER VIKRAM SINGH,GOLDEN MAMA COMPANY LIMITED,JV,TANZANIA,AGRICULTURE AND MINING,0.024,0,0,0.024
April,BHARAT REINSURANCE BROKERS PVT LTD,BHARAT RE GLOBAL LTD,WOS,UNITED ARAB EMIRATES,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.204,0,0,0.204
April,BHARTENDU AGARWAL,INNOVERV GLOBAL SOLUTIONS LTD,JV,UNITED KINGDOM,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0063,0,0,0.0063
April,BHATIA SHIPPING PRIVATE LIMITED,BSPL VENTURES LIMITED,JV,UNITED KINGDOM,CONSTRUCTION,0.7448,0,0,0.7448
April,BHOPAL HEALTHCARE PRIVATE LIMITED,NIGHTINGALE  PHARMACEUTICALS LTD,JV,UGANDA,MANUFACTURING,0,0.05,0,0.05
April,BIOCON BIOLOGICS LIMITED,BIOCON BIOLOGICS UK LIMITED,JV,UNITED KINGDOM,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,140,0,140
April,BISWA GAMES PRIVATE LIMITED,BISWA GAMES UK LIMITED,WOS,UNITED KINGDOM,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0008,0,0,0.0008
April,BLUEBONNET BUILDERS AND DEVELOPERS PRIVATE LIMITED,TOTAL ENVIRONMENT CAPITAL INC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,1.6,0,1.6
April,BLUESHELL INVESTMENTS PRIVATE LIMITED,DEEPAK OMAN INDUSTRIES LLC (SFZ),JV,OMAN,MANUFACTURING,1.2249,0,0,1.2249
April,BOBY SEBASTIAN,SALVE EDUCATION SUPPORT SERVICES LLC,WOS,UNITED ARAB EMIRATES,"COMMUNITY, SOCIAL AND PERSONAL SERVICES",0.0817,0,0,0.0817
April,BRINTON PHARMACEUTICALS LIMITED,BRINTON HEALTHCARE UK LTD,WOS,UNITED KINGDOM,MANUFACTURING,0,0.0316,0,0.0316
April,BUILDCRAFT INTERIOR PRIVATE LIMITED,BUILDCRAFT INTERIOR LANKA (PRIVATE) LTD,WOS,SRI LANKA,CONSTRUCTION,0,0,0.3574,0.3574
April,BV BIO CORP PVT  LTD,WAYWARD ACRES INC,JV,UNITED STATES OF AMERICA,AGRICULTURE AND MINING,0.0519,0,0,0.0519
April,BWR OVERSEAS PRIVATE LIMITED,BWR INTERNATIONAL FZE,WOS,UNITED ARAB EMIRATES,MANUFACTURING,0.0163,0,0,0.0163
April,CACTUS COMMUNICATIONS PVT LTD,CACTUS COMMUNICATIONS SERVICES PTE. LTD.,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0,3.5,3.5
April,CACTUS COMMUNICATIONS PVT LTD,CACTUS LIFE SCIENCES INC.,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0,11,11
April,CALIBRE CHEMICALS PVT. LTD,CALIBRE USA INC,WOS,UNITED STATES OF AMERICA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.05,0,0,0.05
April,CANAM CONSULTANTS LIMITED,GLOBAL EDMISSIONS FZE,WOS,UNITED ARAB EMIRATES,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",4.493,0,0,4.493
April,CAPGEMINI TECHNOLOGY SERVICES INDIA LIMITED,LIQUIDHUB PTE LTD.,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.037,0,0,0.037
April,CAPGEMINI TECHNOLOGY SERVICES INDIA LIMITED,ANNIK INC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.025,0,0,0.025
April,CAPITAL FORTUNES PRIVATE LTD,CAPITAL FORTUNES INTERNATIONAL PTE LTD,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0,0,0
April,CARGOMEN LOGISTICS INDIA PRIVATE LIMITED,CARGOMEN LOGISTICS SINGAPORE PTE LTD,WOS,SINGAPORE,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0,0.0223,0,0.0223
April,CARGOTRANS MARITIME LIMITED,CARGOTRANS LINES PTE LTD.,WOS,SINGAPORE,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0,0.1,0,0.1
April,CARYSIL LIMITED,CARYSIL FZ LLC,WOS,UNITED ARAB EMIRATES,MANUFACTURING,0,0.1,0,0.1
April,CARYSIL LIMITED,ACRYSIL USA INC,WOS,UNITED STATES OF AMERICA,MANUFACTURING,0,0.325,0.5,0.825
April,CASAGRAND PREMIER BUILDER LIMITED,CASAGRAND GALLANTEE REAL ESTATE L.L.C,WOS,UNITED ARAB EMIRATES,CONSTRUCTION,0,0.1008,0,0.1008
April,CEASEFIRE INDUSTRIES PVT LTD,CEASEFIRE INDUSTRIES UK LIMITED,WOS,UNITED KINGDOM,MANUFACTURING,0.1893,0,0,0.1893
April,CHARU SEHGAL,"UNIPHORE TECHNOLOGIES , INC",JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0944,0,0,0.0944
April,CHEMICAL CONSTRUCTION INTERNATIONAL PVT LTD,CHEMICAL CONSTRUCTION INTERNATIONAL GROUP PTE. LTD,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.1,0,0,0.1
April,CHITTANAI FUZAIL AHMED,AFFINITY HIDES TRADING L.L.C.,JV,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.006,0,0,0.006
April,CIONKUMARI KARRA,GSCI SERVICES BANGLADESH PVT LTD,WOS,BANGLADESH,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0,0,0
April,CLEAN MAX ENVIRO ENERGY SOLUTIONS PRIVATE LIMITED,CLEANMAX SOLAR MENA FZCO,WOS,UNITED ARAB EMIRATES,"ELECTRICITY, GAS AND WATER",4.3301,0,0,4.3301
April,CLEAR SKY TRADELINK LLP,RARU CAPITAL IFSC PVT LTD,WOS,IFSC GIFT CITY,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0448,0,0,0.0448
April,CLOVER INFOTECH PRIVATE LIMITED,CLOVER INFOTECH ME DMCC,WOS,UNITED ARAB EMIRATES,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,1,0,1
April,COMETA MANAGEMENT CONSULTING PRIVATE LIMITED,DURIYANI COMPANY LIMITED,JV,THAILAND,CONSTRUCTION,0.0806,0,0,0.0806
April,COMETA MANAGEMENT CONSULTING PRIVATE LIMITED,SENTORA COMPANY LIMITED,JV,THAILAND,CONSTRUCTION,0.0806,0,0,0.0806
April,COMETA MANAGEMENT CONSULTING PRIVATE LIMITED,MANGKOK COMPANY LIMITED,JV,THAILAND,CONSTRUCTION,0.0806,0,0,0.0806
April,CONCRETE ADDITIVES & CHEMICALS PVT LTD,LRC SPECIALITY POLYMERS SDN BHD,WOS,MALAYSIA,MANUFACTURING,0.192,0,0,0.192
April,CONVOSIGHT ANALYTICS PRIVATE LIMITED,CONVOSIGHT ANALYTICS INC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.8,0,0.8
April,CORAL IT SOLUTIONS PRIVATE LIMITED,TMC CO. LIMITED,JV,JAPAN,MANUFACTURING,0,0.276,0,0.276
April,CORPORATESERVE SOLUTIONS PVT LTD,CORPORATESERVE SOLUTIONS INC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.001,0,0,0.001
April,"CRI PUMPS PVT. LTD.,",C.R.I PUMPS (SHANGHAI) CO LTD,WOS,CHINA,MANUFACTURING,0.1,0,0,0.1
April,CYBERNETIK TECHNOLOGIES PVT LTD,CYBERNETIK INC,WOS,UNITED STATES OF AMERICA,MANUFACTURING,0,0.175,0,0.175
April,CYIENT DLM LTD,CYIENT DLM INC,WOS,UNITED STATES OF AMERICA,MANUFACTURING,1,0,0,1
April,DAHLIA TECHNOLOGIES PRIVATE LIMITED,DAHLIA TECHNOLOGIES PTE. LTD.,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.019,0,0,0.019
April,DARSHAN WAKCHAURE,PIBYTHREE CONSULTING SERVICES INC,JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0001,0,0,0.0001
April,DATADYUTI CONSULTING SERVICES LLP,"DATAVI CLOUD, INC.",JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0001,0,0,0.0001
April,DCX SYSTEMS LIMITED,NIART SYSTEMS LIMITED,JV,ISRAEL,MANUFACTURING,10,0,0,10
April,DEBUIDE TECHNOLOGIES (OPC) PRIVATE LIMITED,DEBUIDE TECHNOLOGIES PTE. LTD.,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0003,0,0,0.0003
April,DECCAN GOLD MINES LIMITED,DECCAN GOLD FZCO,WOS,UNITED ARAB EMIRATES,AGRICULTURE AND MINING,0.0421,0,0,0.0421
April,DECIMAL POINT ANALYTICS PRIVATE LIMITED,DPA SMARTCLOUD IFSC PVT LTD,WOS,IFSC GIFT CITY,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0358,0.0299,0,0.0658
April,DEEP INDUSTRIES LIMITED,DEEP INTERNATIONAL DMCC,WOS,UNITED ARAB EMIRATES,AGRICULTURE AND MINING,0,2,0,2
April,DEEP KANTIBHAI BHUVA,GLOBAL POLYPET LIMITED,WOS,MALAWI,MANUFACTURING,0.088,0,0,0.088
April,DEEPAK KUMAR DADHICH,GAGSTEK INC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.021,0,0,0.021
April,DEEPIKA JINDAL,DAZZLE INVESTMENTS PTE. LTD,WOS,SINGAPORE,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0,0,0
April,DEEPTI PRAVIN WAGHMARE,PRESCIENT AMERICAS INC.,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0001,0,0,0.0001
April,DEEVAKAR AND PARTNERS LLP,"UNPROJECT, INC.",WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0,0,0
April,DELVAL FLOW CONTROL PVT LTD,DELVAL FLOW CONTROLS (ANZ) PTY LTD,JV,AUSTRALIA,MANUFACTURING,0,0.3091,0,0.3091
April,DEVYAKSHA OVERSEAS PRIVATE LIMITED,SVOJAS - FZCO,WOS,UNITED ARAB EMIRATES,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0.0027,0,0,0.0027
April,DEVYAKSHA OVERSEAS PRIVATE LIMITED,SVOJAS FREIGHT SOLUTIONS INC,JV,UNITED STATES OF AMERICA,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0.0001,0,0,0.0001
April,DHANARA CHEMICALS PRIVATE LIMITED,DYTARA KIMYA TEKNOLOJILERI LTD,WOS,TURKEY,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.3,0,0,0.3
April,DHARAMPAL SATYAPAL LTD,ENORAMA PHARMA AB,JV,SWEDEN,MANUFACTURING,0.241,0,0,0.241
April,DIGVIJAY BHANDARI,ZINGO PTE. LTD.,JV,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0011,0,0,0.0011
April,DINDAYAL COMMODITIES PVT LTD,DINIVA FZE,WOS,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",1.4854,0,0,1.4854
April,DIRECT DEALCOMM PRIVATE LIMITED,INNOVIZE CONSULTING DMCC,WOS,UNITED ARAB EMIRATES,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0245,0,0,0.0245
April,DKM INNOVATIONS,SYNCHRONICITY LABS INC,JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0,0,0
April,DOMINOR INVESTMENT HOLDING LLP,"UNIPHORE TECHNOLOGIES , INC",JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0991,0,0,0.0991
April,DOMINUS VENTURES LLP,FLAMINGOS TECHNOLOGIES INC,JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.2433,0,0,0.2433
April,DYUTIMOY NANDY,INDIAN CRAFT SUPPLY LLC,JV,UNITED STATES OF AMERICA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0013,0,0,0.0013
April,EASTMAN AUTO & POWER LIMITED,AMPS MIDDLE EAST FZE,WOS,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0,3.599,3.599
April,ECOMOUS VENTURES PRIVATE LIMITED,ECOM CONSULTING LLC,JV,UNITED STATES OF AMERICA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.075,0,0,0.075
April,ECSO GLOBAL PVT LTD,ECSO GLOBAL SOLE PROPRIETORSHIP LLC,WOS,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,5,0,5
April,ELGI RUBBER COMPANY LIMITED,ELGI RUBBER COMPANY HOLDINGS B V,WOS,NETHERLANDS,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0,0.14,0.14
April,EQUENTIA SCF TECHNOLOGIES PRIVATE LIMITED,EQUENTIA FINANCIALS TECHNOLOGIES PTE LTD,WOS,SINGAPORE,"COMMUNITY, SOCIAL AND PERSONAL SERVICES",0,0.0743,0,0.0743
April,ESWARA RAO NANDAM,ATRI COMPANY W.L.L,WOS,BAHRAIN,MANUFACTURING,0.008,0,0,0.008
